model,dataset,seed,hidden_dim,nlayer,nheads,readoutnlayer,dropout,pe_dim,lr,weight_decay,patience,data_num,train_num,val_num,test_num,attr_num,TestAcc,TestSP,TestEO,TestF1,TestAUC,best_epoch,Maxcached,Maxallocated,train_time(s),args
FairGT,german,20,64,1,2,1,0.3,2,0.001,1e-05,200,1000,500,250,250,1000,75.19999742507935,1.445717403164215,3.256302521008403,84.42211055276381,78.90285714285714,443,0.0,0.0,0,"Namespace(datapath='./data/', dataset='german', gpuid=0, model='fairgt', seed=20, hops=2, pe_dim=2, hidden_dim=64, n_heads=2, n_layers=1, dropout=0.3, self_loop=False, peak_lr=0.001, weight_decay=1e-05, subnum=1000, sens_idex=False, is_lap=False, is_subgraph=True, batch_size=1000, epochs=2000, patience=200, readout_nlayers=1, layer_norm=True, batch_norm=False, residual=True, lap_pos_enc=True, wl_pos_enc=False, full_graph=False, norm='none', metric=7, nclass=2, in_dim=29)"
FairGT,german,20,64,1,2,1,0.3,2,0.001,1e-05,200,1000,500,250,250,1000,72.79999852180481,1.118385160938351,4.831932773109249,82.74111675126903,78.60571428571428,474,0.0,0.0,0,"Namespace(datapath='./data/', dataset='german', gpuid=0, model='fairgt', seed=20, hops=2, pe_dim=2, hidden_dim=64, n_heads=2, n_layers=1, dropout=0.3, self_loop=False, peak_lr=0.001, weight_decay=1e-05, subnum=1000, sens_idex=False, is_lap=False, is_subgraph=True, batch_size=1000, epochs=2000, patience=200, readout_nlayers=1, layer_norm=True, batch_norm=False, residual=True, lap_pos_enc=True, wl_pos_enc=False, full_graph=False, norm='none', metric=7, nclass=2, in_dim=29)"
FairGT,german,20,64,1,2,1,0.3,2,0.001,1e-05,200,1000,500,250,250,1000,73.19999933242798,2.0731042007637757,3.0462184873949583,82.86445012787725,78.7047619047619,486,0.0,0.0,0,"Namespace(datapath='./data/', dataset='german', gpuid=0, model='fairgt', seed=20, hops=2, pe_dim=2, hidden_dim=64, n_heads=2, n_layers=1, dropout=0.3, self_loop=False, peak_lr=0.001, weight_decay=1e-05, subnum=1000, sens_idex=False, is_lap=False, is_subgraph=True, batch_size=1000, epochs=2000, patience=200, readout_nlayers=1, layer_norm=True, batch_norm=False, residual=True, lap_pos_enc=True, wl_pos_enc=False, full_graph=False, norm='none', metric=7, nclass=2, in_dim=29)"
FairGT,german,20,64,1,2,1,0.3,2,0.001,1e-05,200,1000,500,250,250,1000,73.19999933242798,0.8183306055646544,2.4159663865546133,83.4567901234568,76.55619047619048,368,0.0,0.0,0,"Namespace(datapath='./data/', dataset='german', gpuid=0, model='fairgt', seed=20, hops=2, pe_dim=2, hidden_dim=64, n_heads=2, n_layers=1, dropout=0.3, self_loop=False, peak_lr=0.001, weight_decay=1e-05, subnum=1000, sens_idex=False, is_lap=False, is_subgraph=True, batch_size=1000, epochs=2000, patience=200, readout_nlayers=1, layer_norm=True, batch_norm=False, residual=True, lap_pos_enc=True, wl_pos_enc=False, full_graph=False, norm='none', metric=7, nclass=2, in_dim=29)"
FairGT,german,20,64,1,2,1,0.3,2,0.001,1e-05,200,1000,500,250,250,1000,72.00000286102295,2.4004364429896397,6.512605042016806,82.14285714285714,78.11809523809525,497,0.0,0.0,0,"Namespace(datapath='./data/', dataset='german', gpuid=0, model='fairgt', seed=20, hops=2, pe_dim=2, hidden_dim=64, n_heads=2, n_layers=1, dropout=0.3, self_loop=False, peak_lr=0.001, weight_decay=1e-05, subnum=1000, sens_idex=False, is_lap=False, is_subgraph=True, batch_size=1000, epochs=2000, patience=200, readout_nlayers=1, layer_norm=True, batch_norm=False, residual=True, lap_pos_enc=True, wl_pos_enc=False, full_graph=False, norm='none', metric=7, nclass=2, in_dim=29)"
FairGT,german,20,64,1,2,1,0.3,2,0.001,1e-05,200,1000,500,250,250,1000,74.40000176429749,1.8685215493726148,0.31512605042016695,83.83838383838383,81.1047619047619,401,0.0,0.0,0,"Namespace(datapath='./data/', dataset='german', gpuid=0, model='fairgt', seed=20, hops=2, pe_dim=2, hidden_dim=64, n_heads=2, n_layers=1, dropout=0.3, self_loop=False, peak_lr=0.001, weight_decay=1e-05, subnum=1000, sens_idex=False, is_lap=False, is_subgraph=True, batch_size=1000, epochs=2000, patience=200, readout_nlayers=1, layer_norm=True, batch_norm=False, residual=True, lap_pos_enc=True, wl_pos_enc=False, full_graph=False, norm='none', metric=7, nclass=2, in_dim=29)"
FairGT,german,20,64,1,2,1,0.3,2,0.001,1e-05,200,1000,500,250,250,1000,72.00000286102295,0.6819421713038731,3.1512605042016806,82.5,78.83428571428571,447,0.0,0.0,0,"Namespace(datapath='./data/', dataset='german', gpuid=0, model='fairgt', seed=20, hops=2, pe_dim=2, hidden_dim=64, n_heads=2, n_layers=1, dropout=0.3, self_loop=False, peak_lr=0.001, weight_decay=1e-05, subnum=1000, sens_idex=False, is_lap=False, is_subgraph=True, batch_size=1000, epochs=2000, patience=200, readout_nlayers=1, layer_norm=True, batch_norm=False, residual=True, lap_pos_enc=True, wl_pos_enc=False, full_graph=False, norm='none', metric=7, nclass=2, in_dim=29)"
FairGT,german,20,64,1,2,1,0.3,2,0.001,1e-05,200,1000,500,250,250,1000,72.79999852180481,3.682487725040917,11.764705882352944,82.56410256410255,77.35619047619048,722,0.0,0.0,0,"Namespace(datapath='./data/', dataset='german', gpuid=0, model='fairgt', seed=20, hops=2, pe_dim=2, hidden_dim=64, n_heads=2, n_layers=1, dropout=0.3, self_loop=False, peak_lr=0.001, weight_decay=1e-05, subnum=1000, sens_idex=False, is_lap=False, is_subgraph=True, batch_size=1000, epochs=2000, patience=200, readout_nlayers=1, layer_norm=True, batch_norm=False, residual=True, lap_pos_enc=True, wl_pos_enc=False, full_graph=False, norm='none', metric=7, nclass=2, in_dim=29)"
FairGT,german,20,64,1,2,1,0.3,2,0.001,1e-05,200,1000,500,250,250,1000,72.79999852180481,3.682487725040917,11.764705882352944,82.56410256410255,77.35619047619048,722,0.0,0.0,0,"Namespace(datapath='./data/', dataset='german', gpuid=0, model='fairgt', seed=20, hops=2, pe_dim=2, hidden_dim=64, n_heads=2, n_layers=1, dropout=0.3, self_loop=False, peak_lr=0.001, weight_decay=1e-05, subnum=1000, sens_idex=False, is_lap=False, is_subgraph=True, batch_size=1000, epochs=2000, patience=200, readout_nlayers=1, layer_norm=True, batch_norm=False, residual=True, lap_pos_enc=True, wl_pos_enc=False, full_graph=False, norm='none', metric=7, nclass=2, in_dim=29)"
FairGT,german,20,64,1,2,1,0.3,2,0.001,1e-05,200,1000,500,250,250,1000,72.79999852180481,3.682487725040917,11.764705882352944,82.56410256410255,77.35619047619048,722,0.0,0.0,0,"Namespace(datapath='./data/', dataset='german', gpuid=0, model='fairgt', seed=20, hops=2, pe_dim=2, hidden_dim=64, n_heads=2, n_layers=1, dropout=0.3, self_loop=False, peak_lr=0.001, weight_decay=1e-05, subnum=1000, sens_idex=False, is_lap=False, is_subgraph=True, batch_size=1000, epochs=2000, patience=200, readout_nlayers=1, layer_norm=True, batch_norm=False, residual=True, lap_pos_enc=True, wl_pos_enc=False, full_graph=False, norm='none', metric=7, nclass=2, in_dim=29)"
